N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.780611056141018,0.8156226223687547,0.7599052695041753,0.7640592029902935,0.7628865979381443,0.7234136582404078
Model2,500,2,1,0.8081354562512518,0.8280497083439006,0.7815742213547583,0.7657594521927832,0.76953125,0.7453745708289289
Model3,500,3,1,0.7583240957569649,0.820948516358103,0.7830668077603741,0.5476957289148111,0.6666666666666666,0.5814821624345433
Model4,500,1,2,0.8364828309292568,0.8480852143038295,0.8135691898355291,0.8273542192558977,0.8136094674556213,0.7897865282613343
Model5,500,2,2,0.8769370264944781,0.8792797362414405,0.8687604759844586,0.8298222126608586,0.813588850174216,0.8069542647793041
Model6,500,3,2,0.8940227024069516,0.8985544002028912,0.889306567666085,0.887941938220183,0.8797250859106529,0.8766175320884803
Model7,800,1,2,0.8510248985792452,0.8584833882830333,0.8329568890385998,0.8208366631977011,0.8081841432225064,0.8016819767337271
Model8,800,2,2,0.8789807724683673,0.8805478062389044,0.8778392825213127,0.8581865046006396,0.8538961038961039,0.8537022672088098
Model9,800,3,2,0.8858105388490473,0.885366472229267,0.8854766754579471,0.848551150895318,0.8486646884272997,0.8484106225578404
