N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.7855617161544707,0.8158762363682476,0.762569918958615,0.8288743412384718,0.8260869565217391,0.8202650029843651
Model2,500,2,1,0.8034709061425644,0.8252599543494801,0.7776692966212582,0.8069423553778998,0.811965811965812,0.7936648373988012
Model3,500,3,1,0.7785838774253582,0.8318539183362922,0.7878024218428006,0.694394883746705,0.7581699346405228,0.7043386903443204
Model4,500,1,2,0.8374336998642822,0.8539183362921633,0.8247182213911328,0.8018201398126293,0.7890625,0.7684866392332927
Model5,500,2,2,0.8832890932194981,0.8802941922394116,0.8693138976379311,0.8561917772708713,0.829443447037702,0.8254766325753006
Model6,500,3,2,0.8869955388453565,0.8851128582297743,0.8829242934464789,0.8349723505686801,0.8255813953488372,0.8198844642459648
Model7,800,1,2,0.8562002952907042,0.8627948262744104,0.8406909512641001,0.8208598025104591,0.7954545454545454,0.788276804242556
Model8,800,2,2,0.89121754432236,0.8939893482120213,0.8844209370461243,0.8482291836143852,0.8377483443708609,0.8312660819805431
Model9,800,3,2,0.8837840762940506,0.890945980218108,0.8799482300364199,0.8395646202789605,0.8309608540925267,0.8295758068499236
